Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 20.5177, 19.9201, 374023

conn2_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 22.8907, 22.2239, 335250

conn3_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 19.942, 19.3612, 384821

conn4_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 21.6071, 20.9778, 355166

conn5_flow1, 10000, 1040000, 1000000, 4, 40000, 4, 22.5103, 21.6445, 344225
