Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 32.5768, 28.0815, 69552
conn_1--3, 262144, 262144, 31.3605, 29.507, 66192
conn_1--4, 262144, 262144, 30.0039, 29.8096, 65520
conn_2--1, 262144, 262144, 32.2943, 27.4624, 71120
conn_2--3, 262144, 262144, 31.2622, 27.8572, 70112
conn_2--4, 262144, 262144, 29.055, 29.016, 67312
conn_3--1, 262144, 262144, 30.9768, 29.4571, 66304
conn_3--2, 262144, 262144, 31.2712, 29.016, 67312
conn_3--4, 262144, 262144, 33.96, 28.1722, 69328
conn_4--1, 262144, 262144, 30.4421, 29.9119, 65296
conn_4--2, 262144, 262144, 33.3544, 27.4624, 71120
conn_4--3, 262144, 262144, 30.1545, 29.9119, 65296
