Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.0937, 22.421, 332303

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9237, 19.3434, 385174

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.2246, 22.5481, 330430

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0899, 19.5048, 381987

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.7997, 19.9997, 372534
