Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.5206, 21.8647, 340759

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9538, 19.3726, 384593

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0847, 20.4706, 363966

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 24.1294, 23.2013, 321127

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2512, 19.6613, 378946
