Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9474, 19.3664, 384717

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.6748, 20.0726, 371182

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.3181, 21.6681, 343851

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 25.6151, 24.6299, 302502

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0151, 19.4321, 383416
