Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 19.455
conn2, flow1_conn2, 25.3807
conn3, flow1_conn3, 19.531
conn4, flow1_conn4, 20.161
conn5, flow1_conn5, 19.3421
