Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 22.2716
conn2, flow1_conn2, 23.3641
conn3, flow1_conn3, 19.6842
conn4, flow1_conn4, 21.1415
conn5, flow1_conn5, 20.5336
