Flow id, Sent size (bytes), Delivered size (bytes), Overhead (%), Retransmit size (bytes), Delivery rate (Gbps), FCT (ns)
flow-1, 22500, 16500, 36.3636, 6000, 5.62264, 25595.7
flow-3, 24000, 18000, 33.3333, 6000, 5.58787, 25819.3
flow-2, 24000, 18000, 33.3333, 6000, 5.98162, 26381.2
