Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9474, 19.3664, 384717

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4693, 19.8731, 374907

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.2633, 23.5566, 316284

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.2694, 21.4129, 347948

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.4591, 21.805, 341692
