Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
connection-pod1_host1--pod2_host1, 5242880, 5242880, 3.77471, 2.46859, 1.58238e+07
connection-pod1_host1--pod2_host2, 5242880, 5242880, 4.26107, 2.52958, 1.54423e+07
connection-pod1_host1--pod2_host3, 5242880, 5242880, 3.60591, 2.4672, 1.58328e+07
connection-pod1_host1--pod2_host4, 5242880, 5242880, 2.60988, 2.77255, 1.4089e+07
