Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
host-1--host-6, 10485760, 10486500, 9.99631, 9.74055, 8.02116e+06
host-2--host-6, 262144, 262500, 9.99631, 9.51985, 205442
host-3--host-6, 262144, 262500, 4.99815, 4.88492, 400370
host-4--host-6, 262144, 262500, 9.96995, 9.51985, 205442
host-5--host-6, 0, 0, 0, 0, 0
