Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0482, 20.4351, 364597

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.7673, 21.1333, 352552

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2952, 19.7041, 378124

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.3917, 19.6074, 379988

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
