Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 21.7389
conn2, flow1_conn2, 19.8804
conn3, flow1_conn3, 19.6075
conn4, flow1_conn4, 22.2218
conn5, flow1_conn5, 21.0082
