Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.1158, 19.3421, 385200

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.1958, 19.6076, 379985

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.0777, 19.4929, 382220

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 22.9397, 22.2715, 334534

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 22.5876, 21.9297, 339749
