Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 21.7861
conn2, flow1_conn2, 22.2713
conn3, flow1_conn3, 19.6075
conn4, flow1_conn4, 20.9203
conn5, flow1_conn5, 19.8805
