Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 19.6075
conn2, flow1_conn2, 22.7271
conn3, flow1_conn3, 20.161
conn4, flow1_conn4, 21.0081
conn5, flow1_conn5, 24.2716
