Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0481, 20.435, 364599

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9538, 19.3726, 384593

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.2588, 20.6396, 360985

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 26.1958, 25.1882, 295796

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.9331, 21.2943, 349886
