Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.4872, 20.8613, 357148

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9538, 19.3726, 384593

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.5253, 20.8984, 356515

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 23.0083, 22.1234, 336774

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4523, 19.8566, 375218
