Data Id, Data Size (bytes), Time Spent (ns), Throughput (Gbps), Start time (ns), Finish time (ns)
dataid_changeme, 128000, 957642, 0.995856, 0, 957642
dataid_changeme, 256000, 1.91132e+06, 0.997922, 0, 1.91132e+06
