Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 27.8528, 27.569, 70845
conn_1--3, 262144, 262144, 27.8324, 27.5705, 70841
conn_1--4, 262144, 262144, 34.2702, 23.1729, 84285
conn_2--1, 262144, 262144, 29.0855, 27.9721, 69824
conn_2--3, 262144, 262144, 30.0836, 28.497, 68538
conn_2--4, 262144, 262144, 33.0989, 30.1469, 64787
conn_3--1, 262144, 262144, 29.3827, 27.5717, 70838
conn_3--2, 262144, 262144, 30.0275, 29.3024, 66654
conn_3--4, 262144, 262144, 32.9214, 27.2012, 71803
conn_4--1, 262144, 262144, 28.1542, 27.2459, 71685
conn_4--2, 262144, 262144, 30.1751, 29.8023, 65536
conn_4--3, 262144, 262144, 28.6614, 28.5816, 68335
