Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 20.2017
conn2, flow1_conn2, 20.5761
conn3, flow1_conn3, 20.0401
conn4, flow1_conn4, 23.148
conn5, flow1_conn5, 19.6848
