Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2215, 19.6325, 379502

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.3166, 20.6958, 360005

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0191, 19.436, 383339

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 24.1856, 23.2554, 320381

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
